iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,test_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
LUX,Europe,Luxembourg,9/23/2020,8016,100,104.571,124,0,0,12805.6,159.751,167.053,198.091,0,0,198,0,0,0,0,0,0,0,,0,0,0,0,625976,231.447,94277.965,14.312,9.842,94278,0.2,128.275,4.42,20.9,26,0
MKD,Europe,Macedonia,9/23/2020,16867,87,134.571,705,5,6.286,8095.98,41.759,64.593,338.392,2.4,3.017,338,2,3.017,0,0,0,0,0,,0,0,0,0,2083380,82.6,13111.214,13.26,8.16,13111.2,5,322.688,10.08,0,0,0
MDG,Africa,Madagascar,9/23/2020,16136,63,47.571,226,1,1.714,582.716,2.275,1.718,8.161,0.036,0.062,8,0,0.062,0,0,0,0,0,,0,0,0,0,27691000,43.951,1416.44,2.929,1.686,1416.44,77.6,405.994,3.94,0,0,50.54
MWI,Africa,Malawi,9/23/2020,5737,4,5.143,179,0,0.143,299.896,0.209,0.269,9.357,0,0.007,9,0,0.007,0,0,0,0,0,,0,0,0,0,19130000,197.519,1095.042,2.979,1.783,1095.04,71.4,227.349,3.94,4.4,24.7,8.704
MYS,Asia,Malaysia,9/23/2020,10358,82,55.571,130,0,0.286,320.027,2.534,1.717,4.017,0,0.009,4,0,0.009,0,0,0,0,0,,0,0,0,0,32366000,96.254,26808.164,6.293,3.407,26808.2,0.1,260.942,16.74,1,42.4,0
MDV,Asia,Maldives,9/23/2020,9818,48,70,34,0,0.143,18163.3,88.8,129.5,62.9,0,0.264,63,0,0.264,0,0,0,0,0,,0,0,0,0,540542,1454.43,15183.616,4.12,2.875,15183.6,0,164.905,9.19,2.1,55,95.803
MLI,Africa,Mali,9/23/2020,3030,6,12.857,129,1,0.143,149.623,0.296,0.635,6.37,0.049,0.007,6,0,0.007,0,0,0,0,0,,0,0,0,0,20250800,15.196,2014.306,2.519,1.486,2014.31,0,268.024,2.42,1.6,23,52.232
MLT,Europe,Malta,9/23/2020,2814,180,51.286,23,6,1,6373.16,407.665,116.152,52.091,13.589,2.265,52,14,2.265,0,0,0,0,0,,0,0,0,0,441539,1454.04,36513.323,19.426,11.324,36513.3,0.2,168.711,8.83,20.9,30.2,0
MRT,Africa,Mauritania,9/23/2020,7384,0,9.286,161,0,0,1588.07,0,1.997,34.626,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,4649660,4.289,3597.633,3.138,1.792,3597.63,6,232.347,2.42,0,0,15.95
MUS,Africa,Mauritius,9/23/2020,367,0,0.714,10,0,0,288.575,0,0.562,7.863,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,1271770,622.962,20292.745,10.945,5.884,20292.7,0.5,224.644,22.02,3.2,40.7,0
MEX,North America,Mexico,9/23/2020,705263,4683,4110.86,74348,651,381.429,5470.01,36.321,31.884,576.642,5.049,2.958,577,5,2.958,0,0,0,0,0,,0,0,0,0,128933000,66.444,17336.469,6.857,4.321,17336.5,2.5,152.783,13.06,6.9,21.4,87.847
MDA,Europe,Moldova,9/23/2020,47446,650,530.286,1230,19,12.286,11761.6,161.132,131.455,304.911,4.71,3.046,305,5,3.046,0,0,0,0,0,,0,0,0,0,4033960,123.655,5189.972,10.864,6.955,5189.97,0.2,408.502,5.72,5.9,44.6,86.979
MCO,Europe,Monaco,9/23/2020,197,2,2.714,1,0,0,5019.88,50.963,69.164,25.482,0,0,25,0,0,0,0,0,0,0,,0,0,0,0,39244,19347.5,,0,0,0,0,0,5.46,0,0,0
MNG,Asia,Mongolia,9/23/2020,313,0,0.286,0,0,0,95.477,0,0.087,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3278290,1.98,11840.846,4.031,2.421,11840.8,0.5,460.043,4.82,5.5,46.5,71.18
MNE,Europe,Montenegro,9/23/2020,9138,296,296.714,146,8,3.286,14549.5,471.291,472.428,232.461,12.738,5.232,232,13,5.232,0,0,0,0,0,,0,0,0,0,628062,46.28,16409.288,14.762,9.395,16409.3,1,387.305,10.08,44,47.9,0
MSR,North America,Montserrat,9/23/2020,13,0,0,1,0,0,2600.52,0,0,200.04,0,0,200,0,0,0,0,0,0,0,,0,0,0,0,4999,0,,0,0,0,0,0,0,0,0,0
MAR,Africa,Morocco,9/23/2020,105346,2227,2146,1889,34,34.429,2854.09,60.335,58.141,51.178,0.921,0.933,51,1,0.933,0,0,0,0,0,,0,0,0,0,36910600,80.08,7485.013,6.769,4.209,7485.01,1,419.146,7.14,0.8,47.1,0
MOZ,Africa,Mozambique,9/23/2020,7114,202,200.143,45,1,1.143,227.608,6.463,6.403,1.44,0.032,0.037,1,0,0.037,0,0,0,0,0,,0,0,0,0,31255400,37.728,1136.103,3.158,1.87,1136.1,62.9,329.942,3.3,5.1,29.1,12.227
MMR,Asia,Myanmar,9/23/2020,6959,488,474.714,116,16,11,127.9,8.969,8.725,2.132,0.294,0.202,2,0,0.202,0,0,0,0,0,,0,0,0,0,54409800,81.721,5591.597,5.732,3.12,5591.6,6.4,202.104,4.61,6.3,35.2,79.287
NAM,Africa,Namibia,9/23/2020,10607,81,100.857,116,3,1.429,4174.48,31.878,39.693,45.653,1.181,0.562,46,1,0.562,0,0,0,0,0,,0,0,0,0,2540920,3.078,9541.808,3.552,2.085,9541.81,13.4,243.811,3.94,9.7,34.2,44.6
NPL,Asia,Nepal,9/23/2020,66632,1356,1406.29,429,2,8.286,2286.87,46.539,48.265,14.724,0.069,0.284,15,0,0.284,0,0,0,0,0,,0,0,0,0,29136800,204.43,2442.804,5.809,3.212,2442.8,15,260.797,7.26,9.5,37.8,47.782
NLD,Europe,Netherlands,9/23/2020,98142,2243,1920.71,6282,10,4.714,5727.62,130.903,112.094,366.621,0.584,0.275,367,1,0.275,0,0,0,0,0,,0,0,0,0,17134900,508.544,48472.545,18.779,11.881,48472.5,0,109.361,5.29,24.4,27.3,0
NCL,Oceania,New Caledonia,9/23/2020,26,0,0,0,0,0,91.071,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,285491,15.342,,9.954,6.489,0,0,0,23.36,0,0,0
NZL,Oceania,New Zealand,9/23/2020,1468,4,2.429,25,0,0,304.423,0.829,0.504,5.184,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,4822230,18.206,36085.843,15.322,9.72,36085.8,0,128.797,8.08,14.8,17.2,0
NIC,North America,Nicaragua,9/23/2020,4961,0,0,147,0,0,748.881,0,0,22.19,0,0,22,0,0,0,0,0,0,0,,0,0,0,0,6624550,51.667,5321.444,5.445,3.519,5321.44,3.2,137.016,11.47,0,0,0
NER,Africa,Niger,9/23/2020,1193,4,1.857,69,0,0,49.284,0.165,0.077,2.85,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,24206600,16.955,926,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978
NGA,Africa,Nigeria,9/23/2020,57613,176,162.143,1100,0,1.714,279.485,0.854,0.787,5.336,0,0.008,5,0,0.008,0,484051,2.348,0,4380,0.021,27.013,0,0,0,206140000,209.588,5338.454,2.751,1.447,5338.45,0,181.013,2.42,0.6,10.8,41.949
MNP,Oceania,Northern Mariana Islands,9/23/2020,69,0,1.143,2,0,0,1198.81,0,19.856,34.748,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,57557,119.878,,0,0,0,0,194.994,0,0,0,0
NOR,Europe,Norway,9/23/2020,13000,104,103.286,267,0,0.286,2397.97,19.184,19.052,49.251,0,0.053,49,0,0.053,0,0,0,0,0,,0,0,0,0,5421240,14.462,64800.057,16.821,10.813,64800.1,0.2,114.316,5.31,19.6,20.7,0
OMN,Asia,Oman,9/23/2020,94711,660,578.714,865,12,9.714,18546.7,129.244,113.326,169.388,2.35,1.902,169,2,1.902,0,0,0,0,0,,0,0,0,0,5106620,14.98,37960.709,2.355,1.53,37960.7,0,266.342,12.61,0.5,15.6,97.4
PAK,Asia,Pakistan,9/23/2020,307418,532,618.429,6432,8,5.571,1391.71,2.408,2.8,29.118,0.036,0.025,29,0,0.025,33744,3264220,14.777,0.153,34176,0.155,55.263,0,0,0,220892000,255.573,5034.708,4.495,2.78,5034.71,4,423.031,8.35,2.8,36.7,59.607
PSE,Asia,Palestine,9/23/2020,46614,557,743,314,5,7.571,9137.46,109.185,145.646,61.552,0.98,1.484,62,1,1.484,0,0,0,0,0,,0,0,0,0,5101420,778.202,4449.898,3.043,1.726,4449.9,1,265.91,10.59,0,0,0
PAN,North America,Panama,9/23/2020,107284,474,636,2285,13,14,24864.4,109.855,147.401,529.577,3.013,3.245,530,3,3.245,0,0,0,0,0,,0,0,0,0,4314770,55.133,22267.037,7.918,5.03,22267,2.2,128.346,8.33,2.4,9.9,0
PNG,Oceania,Papua New Guinea,9/23/2020,527,1,2.286,7,0,0.143,58.902,0.112,0.255,0.782,0,0.016,1,0,0.016,0,0,0,0,0,,0,0,0,0,8947030,18.22,3823.194,3.808,2.142,3823.19,0,561.494,17.65,23.5,48.8,0
PRY,South America,Paraguay,9/23/2020,34828,568,790,705,29,21.857,4882.98,79.635,110.76,98.843,4.066,3.064,99,4,3.064,0,0,0,0,0,,0,0,0,0,7132530,17.144,8827.01,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602
PER,South America,Peru,9/23/2020,776546,3650,5503.71,31586,112,94.143,23551.8,110.701,166.922,957.969,3.397,2.855,958,3,2.855,0,0,0,0,0,,0,0,0,0,32971800,25.129,12236.706,7.151,4.455,12236.7,3.5,85.755,5.95,4.8,0,0
PHL,Asia,Philippines,9/23/2020,291789,1599,3197.43,5049,50,55.143,2662.77,14.592,29.179,46.075,0.456,0.503,46,0,0.503,0,0,0,0,0,,0,0,0,0,109581000,351.873,7599.188,4.803,2.661,7599.19,0,370.437,7.07,7.8,40.8,78.463
POL,Europe,Poland,9/23/2020,80699,711,795,2316,18,12.714,2132.26,18.786,21.006,61.194,0.476,0.336,61,0,0.336,0,0,0,0,0,,0,0,0,0,37846600,124.027,27216.445,16.763,10.202,27216.4,0,227.331,5.91,23.3,33.1,0
